herb,frequency,degree,weighted_degree,degree_centrality,betweenness_centrality,eigenvector_centrality
肉豆蔻,3,23,27,0.06353591160220995,0.0044068891474819,0.006258021937681853
炮姜,3,18,27,0.049723756906077346,0.0005295654978831595,0.015962153900738654
慈姑,2,25,27,0.06906077348066297,0.0010389974588956373,0.008786695407147741
苦参,2,22,27,0.06077348066298342,0.0006087883716316631,0.009942589890460929
莲子,2,20,27,0.055248618784530384,0.00016812752674161046,0.009446721827783914
蛇蜕,2,25,26,0.06906077348066297,0.0016764145442436475,0.006040203991904295
淡竹叶,4,21,25,0.058011049723756904,0.0028667572809673468,0.010928957565612215
红花,3,21,25,0.058011049723756904,0.0013179594771299138,0.007048236685342715
芜荑,2,25,25,0.06906077348066297,0.008364541474189316,0.007612621338133859
沉香,2,24,25,0.06629834254143646,0.0020848690164527576,0.0020484685308942317
藁本,2,22,25,0.06077348066298342,0.000587985775149042,0.010534526266725597
款冬花,3,14,24,0.03867403314917127,0.00012446210189703057,0.01078618034259179
蔓荆子,2,21,24,0.058011049723756904,0.00029274070421753557,0.007401054011107088
泽兰,2,20,24,0.055248618784530384,0.0002565305571740035,0.010689494992277693
安息香,2,20,24,0.055248618784530384,0.0011892021069987888,0.0011996361293890843
葱白,4,19,23,0.052486187845303865,0.002906569886833456,0.00819425345193675
诃子,3,23,23,0.06353591160220995,0.00388556852443272,0.002338322663204435
火麻仁,3,22,23,0.06077348066298342,0.0017274229927112348,0.008437463661206453
木瓜,3,22,23,0.06077348066298342,0.0028738303481825717,0.007450866668349065
炙甘草,3,20,23,0.055248618784530384,0.0007868692473740503,0.009264091165889323
山楂,2,22,23,0.06077348066298342,0.0018580147472719516,0.00685244566284471
桑螵蛸,2,19,23,0.052486187845303865,0.0007014323461020314,0.009490846917148934
青葙子,1,23,23,0.06353591160220995,0.0004747809474573973,0.006510944385822441
巴豆,5,18,22,0.049723756906077346,0.0017102710296032814,0.0024002897250260053
芡实,3,22,22,0.06077348066298342,0.009755231151744488,0.00499878215933734
草果,3,18,22,0.049723756906077346,0.0008013645876733772,0.00989058044290162
通草,3,16,22,0.04419889502762431,0.0004551480957778316,0.012019968334206597
乌梅,2,22,22,0.06077348066298342,0.0016720366498459308,0.010347002094543197
紫苏,2,18,22,0.049723756906077346,0.000499407640109818,0.011220772780975797
粉葛,3,18,21,0.049723756906077346,0.0008102202543058591,0.010284735512163665
天南星,4,15,20,0.04143646408839779,0.0010300160023090639,0.005732447763800117
水蛭,3,13,20,0.03591160220994475,0.00012240368239396345,0.005148541959104113
虻虫,3,13,20,0.03591160220994475,0.00012240368239396345,0.005148541959104113
淡豆豉,6,14,19,0.03867403314917127,0.000433056518296648,0.006828283554233689
茵陈,4,18,19,0.049723756906077346,0.006237928194868677,0.008579674975686447
桑叶,3,17,19,0.04696132596685083,0.0008792228487729507,0.00678929897593668
三棱,3,16,19,0.04419889502762431,0.0007029071727385781,0.002542507739624239
茯神,2,19,19,0.052486187845303865,0.0008199330561470191,0.0027922200468668275
草乌头,5,15,18,0.04143646408839779,0.0019446831205124065,0.011683433823329065
冬瓜仁,5,9,18,0.024861878453038673,0.0002705812288602906,0.0021092001276272025
牛黄,2,18,18,0.049723756906077346,0.0028960901195055535,0.001787854696130384
密蒙花,1,18,18,0.049723756906077346,0.00029944789334693294,0.00437920598579174
木贼,1,18,18,0.049723756906077346,0.00029944789334693294,0.00437920598579174
蜂蜜,5,16,17,0.04419889502762431,0.012122647858135762,0.005941637154176011
艾叶,3,10,17,0.027624309392265192,5.410957956710105e-06,0.008838972709101865
泽漆,2,17,17,0.04696132596685083,0.001878528504662178,0.006795224380730321
钩藤,2,17,17,0.04696132596685083,0.0009181665005426094,0.004761288805614295
紫石英,2,16,17,0.04419889502762431,0.0017940342877504187,0.003780200309929077
大蓟,2,15,17,0.04143646408839779,0.001506157336569775,0.0026974413009131734
