formula_id,formula_name,herbs,herb_count,book_title,chapter_title
135,五积散,"['半夏', '厚朴', '川芎', '干姜', '当归', '枳壳', '桔梗', '甘草', '白芷', '肉桂', '芍药', '苍术', '茯苓', '陈皮', '麻黄']",15,经方使用手册,五积散
136,石膏汤,"['栀子', '淡豆豉', '石膏', '麻黄', '黄柏', '黄芩', '黄连']",7,伤寒论辩证广注,附昔贤治阳明病方论变法
137,栀子大黄汤,"['大黄', '枳实', '栀子', '淡豆豉']",4,金匮玉函要略辑义,黄胆病脉证并治第十五（论二首、脉证十四条、方七首）
138,清骨散,"['地骨皮', '甘草', '知母', '秦艽', '胡黄连', '银柴胡', '青蒿', '鳖甲']",8,医方论,泻火之剂
139,当归六黄汤,"['地黄', '当归', '熟地', '黄柏', '黄芩', '黄芪', '黄连']",7,时方歌括,当归六黄汤
140,百合知母汤,"['百合', '知母']",2,高注金匮要略,百合狐惑阴阳毒病证治第三
142,滑石代赭汤,"['滑石', '百合', '赭石']",3,金匮玉函经二注,卷三 百合狐惑阴阳毒病证治第三
143,香薷散,"['厚朴', '白扁豆', '香薷']",3,时方歌括,香薷饮
144,六一散,"['滑石', '甘草']",2,时方歌括,六一散
145,益元散,"['朱砂', '滑石', '甘草']",3,时方歌括,六一散
146,碧玉散,"['滑石', '甘草', '青黛']",3,汤头歌诀,六一（散）
147,桂苓甘露散,"['泽泻', '滑石', '甘草', '白术', '石膏', '肉桂', '茯苓']",7,伤寒直格,诸证药石分剂
148,清暑益气汤,"['五味子', '人参', '升麻', '大枣', '当归', '泽泻', '炙甘草', '白术', '神曲', '苍术', '葛根', '陈皮', '青皮', '骨碎补', '麦冬', '黄柏', '黄芪']",17,时方歌括,清暑益气汤
149,理中丸,"['人参', '干姜', '甘草', '白术']",4,伤寒论类方,理中丸（一）
150,桂枝人参汤,"['人参', '干姜', '桂枝', '甘草', '白术']",5,伤寒寻源,桂枝人参汤
151,黄芪建中汤,"['大枣', '桂枝', '甘草', '生姜', '芍药', '饴糖', '黄芪']",7,金匮名医验案精选,黄芪建中汤
152,吴茱萸汤,"['人参', '吴茱萸', '大枣', '生姜']",4,经方一百首,095、吴茱萸汤
153,当归建中汤,"['当归', '甘草', '白芍', '肉桂']",4,太平惠民和剂局方,治妇人诸疾（附产图。外有治疗诸方，互见各类。）
154,大建中汤,"['人参', '干姜', '花椒']",3,金匮名医验案精选,大建中汤
155,小建中汤,"['大枣', '桂枝', '甘草', '生姜', '芍药', '饴糖']",6,经方一百首,011、小建中汤
156,理中化痰丸,"['人参', '半夏', '干姜', '甘草', '白术', '茯苓']",6,证治准绳·类方,痰饮
157,当归生姜羊肉汤,"['当归', '生姜', '羊肉']",3,金匮名医验案精选,当归生姜羊肉汤
158,四逆汤,"['干姜', '甘草', '附子']",3,经方一百首,077、四逆汤
159,通脉四逆汤,"['干姜', '甘草', '附子']",3,伤寒寻源,通脉四逆汤
160,四逆加人参汤,"['人参', '干姜', '甘草', '附子']",4,退思集类方歌注,四逆汤类
161,回阳救急汤,"['五味子', '人参', '半夏', '干姜', '甘草', '白术', '肉桂', '胆汁', '茯苓', '附子', '陈皮', '麝香']",12,时方歌括,回阳急救汤
